name,id,types,formattedAddress,rating,reviewsCount,location
places/ChIJfz6I4gDbfkcR41z6I9kFOW8,ChIJfz6I4gDbfkcR41z6I9kFOW8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Santi Fabiano e Sebastiano, 13, 35143 Padova PD, Italy",4.5,,
places/ChIJx1Rq_LTafkcRuQG14Subg9g,ChIJx1Rq_LTafkcRuQG14Subg9g,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Nona Strada, 23/R, 35129 Padova PD, Italy",4.1,,
places/ChIJCXOHn5jbfkcRvuv4_LKBOu4,ChIJCXOHn5jbfkcRvuv4_LKBOu4,"['bar', 'coffee_shop', 'liquor_store', 'cafe', 'night_club', 'food', 'point_of_interest', 'store', 'establishment']","Via della Croce Rossa, 46, 35129 Padova PD, Italy",4.2,,
places/ChIJDVFEKlfafkcRAp9y-gI1RgE,ChIJDVFEKlfafkcRAp9y-gI1RgE,"['night_club', 'event_venue', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","c/o Fiera di, Via Francesco Rismondo, 35131 Padova PD, Italy",4.2,,
places/ChIJLa3j_rDbfkcRApbTngSgAJM,ChIJLa3j_rDbfkcRApbTngSgAJM,"['japanese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Venezia, 65, 35131 Padova PD, Italy",4.3,,
places/ChIJd8Y3JVvafkcRlOT13RNuSaQ,ChIJd8Y3JVvafkcRlOT13RNuSaQ,"['hotel', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","Largo Europa, 9/10, 35137 Padova PD, Italy",4,,
places/ChIJQR9o0zTafkcRA76TSnrQuiw,ChIJQR9o0zTafkcRA76TSnrQuiw,"['restaurant', 'pizza_restaurant', 'hamburger_restaurant', 'meal_takeaway', 'american_restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Via Sorio, 64/A, 35141 Padova PD, Italy",4.2,,
places/ChIJndkoTl3afkcRDto-rckMt7o,ChIJndkoTl3afkcRDto-rckMt7o,"['fast_food_restaurant', 'hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Piazzale della Stazione, 5, 35131 Padova PD, Italy",3.2,,
places/ChIJv5RfikXafkcRGeLQgpoFDdI,ChIJv5RfikXafkcRGeLQgpoFDdI,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Dondi dall'Orologio, 13, 35139 Padova PD, Italy",4.5,,
places/ChIJ4_4zZlbcfkcRXRdhHcxNJs8,ChIJ4_4zZlbcfkcRXRdhHcxNJs8,"['pizza_restaurant', 'swimming_pool', 'sports_complex', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Bosco Papadopoli, 2, 35125 Padova PD, Italy",3.9,,
places/ChIJP-ZEOlTafkcRFi8zBVerMvg,ChIJP-ZEOlTafkcRFi8zBVerMvg,"['hamburger_restaurant', 'fast_food_restaurant', 'american_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via del Santo, 23, 35123 Padova PD, Italy",4.6,,
places/ChIJYZWTbvbafkcRfxS4GgwkFNA,ChIJYZWTbvbafkcRfxS4GgwkFNA,"['bar', 'point_of_interest', 'establishment']","Viale Giuseppe Colombo, 35131 Padova PD, Italy",4.2,,
places/ChIJiw3TIs3bfkcROwaq-zlrLEo,ChIJiw3TIs3bfkcROwaq-zlrLEo,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Via Sorio, 89, 35141 Padova PD, Italy",4.4,,
places/ChIJhcQ-1UvafkcREQWtMI2uyIM,ChIJhcQ-1UvafkcREQWtMI2uyIM,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Cristoforo Moro, 2, 35141 Padova PD, Italy",4.1,,
places/ChIJH48FyFHafkcRFLa0J4Wgvak,ChIJH48FyFHafkcRFLa0J4Wgvak,"['seafood_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via dell'Arco, 37, 35122 Padova PD, Italy",4.6,,
places/ChIJEdIEfjbbfkcRp1_FCUKsS8Q,ChIJEdIEfjbbfkcRp1_FCUKsS8Q,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via T. Aspetti, 265, 35134 Padova PD, Italy",3.3,,
places/ChIJOXGASE7afkcR1NgjX22AjP4,ChIJOXGASE7afkcR1NgjX22AjP4,"['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via S. Gregorio Barbarigo, 3, 35141 Padova PD, Italy",4.5,,
places/ChIJzbP8mFHafkcR3JGI5fkxShg,ChIJzbP8mFHafkcR3JGI5fkxShg,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Galleria Tito Livio, 4, 35123 Padova PD, Italy",4,,
places/ChIJB345B3_bfkcRjJY8wh_HvpQ,ChIJB345B3_bfkcRjJY8wh_HvpQ,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Via Guizza Conselvana, 375, 35125 Padova PD, Italy",4.2,,
